arr_time AP c_id deadline profit
0 32 45 877 12
0 90 25 223 10
0 82 12 668 8
0 56 25 3584 10
1 90 12 2853 8
2 12 25 635 10
3 81 25 1588 10
3 49 12 797 8
3 59 12 797 8
3 50 12 531 8
3 86 25 1905 10
3 96 25 2114 10
3 51 45 1556 12
3 31 25 2114 10
3 16 25 3673 10
3 26 25 186 10
3 68 25 186 10
3 22 25 1947 10
3 38 25 1947 10
3 22 25 2114 10
4 58 12 494 8
4 34 12 920 8
4 71 25 518 10
4 55 12 3078 8
4 74 12 3078 8
4 57 12 494 8
4 76 45 123 12
4 37 25 515 10
4 14 45 1635 12
4 55 45 1635 12
4 36 45 1635 12
4 49 25 515 10
5 27 12 3660 8
5 94 25 3658 10
5 48 25 1043 10
5 6 12 462 8
5 49 25 349 10
5 31 25 1597 10
5 43 25 1597 10
5 96 25 349 10
6 59 25 111 10
6 65 25 1745 10
6 12 25 1998 10
6 63 25 3501 10
6 78 25 3501 10
6 26 25 308 10
6 15 45 478 12
6 86 12 943 8
6 31 12 943 8
6 0 12 943 8
6 8 12 3541 8
6 49 25 797 10
7 40 25 1026 10
7 82 25 3050 10
7 93 25 221 10
7 6 25 1026 10
7 87 12 700 8
7 7 25 3555 10
7 56 45 1892 12
7 74 45 1892 12
7 55 25 283 10
7 62 25 283 10
7 40 25 308 10
7 12 12 700 8
7 39 25 1169 10
7 53 12 58 8
7 69 12 58 8
8 65 25 284 10
8 58 45 426 12
8 81 45 2899 12
8 9 45 2228 12
8 15 25 2025 10
8 51 12 954 8
8 17 12 1423 8
8 0 25 1147 10
8 57 25 413 10
8 20 12 1256 8
8 83 45 2409 12
8 17 25 3889 10
8 97 25 3111 10
9 29 25 1310 10
9 27 12 3156 8
9 68 25 3462 10
9 43 25 216 10
9 69 12 1034 8
9 27 12 1787 8
9 99 25 874 10
9 20 45 1237 12
9 20 12 735 8
9 41 25 2778 10
9 42 12 954 8
9 81 12 1787 8
9 73 25 470 10
10 36 12 1851 8
10 81 25 46 10
10 74 25 1043 10
10 20 25 1319 10
10 27 25 1319 10
10 75 12 1724 8
10 53 25 2541 10
11 16 25 46 10
11 57 25 1461 10
11 40 12 1524 8
11 88 12 35 8
11 94 25 2682 10
12 93 45 3977 12
12 33 45 1408 12
12 56 25 181 10
12 42 25 181 10
12 43 12 1803 8
12 92 45 3977 12
13 50 25 1504 10
13 87 12 1787 8
13 35 25 1005 10
13 5 25 2400 10
13 69 45 2888 12
13 56 45 61 12
13 96 45 1494 12
13 70 25 1504 10
14 35 12 938 8
14 45 12 938 8
14 79 12 938 8
14 66 12 2826 8
14 65 12 283 8
14 35 25 2637 10
14 21 45 2012 12
14 71 25 1117 10
14 84 12 3218 8
15 42 12 471 8
15 3 25 341 10
16 7 12 746 8
16 34 45 1408 12
16 34 45 653 12
16 41 45 653 12
16 12 45 2773 12
17 72 25 1233 10
17 24 25 575 10
17 11 45 2654 12
17 96 25 2089 10
17 31 25 3615 10
17 64 45 1983 12
17 34 25 2499 10
17 49 45 1957 12
17 25 25 1754 10
17 4 45 1763 12
17 31 25 1754 10
18 1 12 1908 8
18 5 25 874 10
18 94 25 3615 10
18 43 25 591 10
18 91 25 874 10
