ES_ID	Private_Ratio	Public_Ratio
-----	-------------	------------
ES_0	0.80 (80%)	0.20 (20%)
ES_1	0.80 (80%)	0.20 (20%)
ES_2	0.90 (90%)	0.10 (10%)
ES_3	0.90 (90%)	0.10 (10%)
ES_4	0.80 (80%)	0.20 (20%)
ES_5	0.80 (80%)	0.20 (20%)
ES_6	0.80 (80%)	0.20 (20%)
ES_7	0.80 (80%)	0.20 (20%)
ES_8	0.80 (80%)	0.20 (20%)
ES_9	0.90 (90%)	0.10 (10%)
ES_10	0.90 (90%)	0.10 (10%)
ES_11	0.80 (80%)	0.20 (20%)
ES_12	0.80 (80%)	0.20 (20%)
ES_13	0.80 (80%)	0.20 (20%)
ES_14	0.80 (80%)	0.20 (20%)
ES_15	0.80 (80%)	0.20 (20%)
ES_16	0.90 (90%)	0.10 (10%)
ES_17	0.80 (80%)	0.20 (20%)
ES_18	0.90 (90%)	0.10 (10%)
ES_19	0.80 (80%)	0.20 (20%)
ES_20	0.70 (70%)	0.30 (30%)
ES_21	0.70 (70%)	0.30 (30%)
ES_22	0.70 (70%)	0.30 (30%)
ES_23	0.70 (70%)	0.30 (30%)
ES_24	0.70 (70%)	0.30 (30%)
ES_25	0.70 (70%)	0.30 (30%)
ES_26	0.70 (70%)	0.30 (30%)
ES_27	0.70 (70%)	0.30 (30%)
ES_28	0.70 (70%)	0.30 (30%)
ES_29	0.70 (70%)	0.30 (30%)
ES_30	0.70 (70%)	0.30 (30%)
ES_31	0.70 (70%)	0.30 (30%)
ES_32	0.70 (70%)	0.30 (30%)
ES_33	0.70 (70%)	0.30 (30%)
ES_34	0.70 (70%)	0.30 (30%)
ES_35	0.70 (70%)	0.30 (30%)
ES_36	0.70 (70%)	0.30 (30%)
ES_37	0.70 (70%)	0.30 (30%)
ES_38	0.70 (70%)	0.30 (30%)
ES_39	0.70 (70%)	0.30 (30%)
ES_40	0.70 (70%)	0.30 (30%)
ES_41	0.70 (70%)	0.30 (30%)
ES_42	0.70 (70%)	0.30 (30%)
ES_43	0.70 (70%)	0.30 (30%)
ES_44	0.70 (70%)	0.30 (30%)
ES_45	0.70 (70%)	0.30 (30%)
ES_46	0.70 (70%)	0.30 (30%)
ES_47	0.70 (70%)	0.30 (30%)
ES_48	0.70 (70%)	0.30 (30%)
ES_49	0.70 (70%)	0.30 (30%)
ES_50	0.70 (70%)	0.30 (30%)
ES_51	0.70 (70%)	0.30 (30%)
ES_52	0.70 (70%)	0.30 (30%)
ES_53	0.70 (70%)	0.30 (30%)
ES_54	0.70 (70%)	0.30 (30%)
ES_55	0.70 (70%)	0.30 (30%)
ES_56	0.70 (70%)	0.30 (30%)
ES_57	0.70 (70%)	0.30 (30%)
ES_58	0.70 (70%)	0.30 (30%)
ES_59	0.70 (70%)	0.30 (30%)
ES_60	0.70 (70%)	0.30 (30%)
ES_61	0.70 (70%)	0.30 (30%)
ES_62	0.70 (70%)	0.30 (30%)
ES_63	0.70 (70%)	0.30 (30%)
ES_64	0.70 (70%)	0.30 (30%)
ES_65	0.70 (70%)	0.30 (30%)
ES_66	0.70 (70%)	0.30 (30%)
ES_67	0.70 (70%)	0.30 (30%)
ES_68	0.70 (70%)	0.30 (30%)
ES_69	0.70 (70%)	0.30 (30%)
ES_70	0.50 (50%)	0.50 (50%)
ES_71	0.60 (60%)	0.40 (40%)
ES_72	0.50 (50%)	0.50 (50%)
ES_73	0.50 (50%)	0.50 (50%)
ES_74	0.60 (60%)	0.40 (40%)
ES_75	0.60 (60%)	0.40 (40%)
ES_76	0.60 (60%)	0.40 (40%)
ES_77	0.60 (60%)	0.40 (40%)
ES_78	0.50 (50%)	0.50 (50%)
ES_79	0.50 (50%)	0.50 (50%)
ES_80	0.60 (60%)	0.40 (40%)
ES_81	0.50 (50%)	0.50 (50%)
ES_82	0.60 (60%)	0.40 (40%)
ES_83	0.50 (50%)	0.50 (50%)
ES_84	0.50 (50%)	0.50 (50%)
ES_85	0.60 (60%)	0.40 (40%)
ES_86	0.50 (50%)	0.50 (50%)
ES_87	0.60 (60%)	0.40 (40%)
ES_88	0.60 (60%)	0.40 (40%)
ES_89	0.60 (60%)	0.40 (40%)
ES_90	0.60 (60%)	0.40 (40%)
ES_91	0.50 (50%)	0.50 (50%)
ES_92	0.50 (50%)	0.50 (50%)
ES_93	0.50 (50%)	0.50 (50%)
ES_94	0.50 (50%)	0.50 (50%)
ES_95	0.60 (60%)	0.40 (40%)
ES_96	0.60 (60%)	0.40 (40%)
ES_97	0.50 (50%)	0.50 (50%)
ES_98	0.50 (50%)	0.50 (50%)
ES_99	0.60 (60%)	0.40 (40%)
